name,전체_채점,공정_채점,정직_채점,존중_채점,책임_채점,투명성_채점
전체_채점,0.0,4.5907440810832196e-32,2.386642934202954e-48,2.2080004300537494e-42,3.4880229533685138e-37,2.6843757928674503e-45
공정_채점,4.5907440810832196e-32,0.0,5.1170329696974645e-23,2.0630035536843958e-21,1.267229566021211e-19,1.3722879661837283e-18
정직_채점,2.386642934202954e-48,5.1170329696974645e-23,0.0,3.5550238042144514e-26,4.231950155051287e-22,3.4456923756694343e-25
존중_채점,2.2080004300537494e-42,2.0630035536843958e-21,3.5550238042144514e-26,0.0,2.778611779625733e-25,9.393009470343356e-31
책임_채점,3.4880229533685138e-37,1.267229566021211e-19,4.231950155051287e-22,2.778611779625733e-25,0.0,2.6612447870175643e-41
투명성_채점,2.6843757928674503e-45,1.3722879661837283e-18,3.4456923756694343e-25,9.393009470343356e-31,2.6612447870173945e-41,0.0
