column,20대수,30대수,40대수,50대수,60대수,20대평균,30대평균,40대평균,50대평균,60대평균,20대수_right,30대수_right,40대수_right,50대수_right,60대수_right,20대표준편차,30대표준편차,40대표준편차,50대표준편차,60대표준편차
공정,23,54,48,33,9,4.25,4.15,4.24,4.32,4.17,0.1377245508982036,0.32335329341317365,0.2874251497005988,0.19760479041916168,0.05389221556886228,0.56,0.58,0.57,0.55,0.6
정직,23,54,48,33,9,4.46,4.4,4.52,4.51,4.53,0.1377245508982036,0.32335329341317365,0.2874251497005988,0.19760479041916168,0.05389221556886228,0.59,0.58,0.62,0.65,0.51
존중,23,54,48,33,9,4.42,4.44,4.4,4.43,4.41,0.1377245508982036,0.32335329341317365,0.2874251497005988,0.19760479041916168,0.05389221556886228,0.51,0.59,0.57,0.61,0.56
책임,23,54,48,33,9,4.39,4.24,4.17,4.2,4.17,0.1377245508982036,0.32335329341317365,0.2874251497005988,0.19760479041916168,0.05389221556886228,0.57,0.61,0.63,0.63,0.5
투명성,23,54,48,33,9,4.42,4.32,4.31,4.17,4.31,0.1377245508982036,0.32335329341317365,0.2874251497005988,0.19760479041916168,0.05389221556886228,0.55,0.6,0.58,0.68,0.69
전체,23,54,48,33,9,4.39,4.31,4.33,4.33,4.31,0.1377245508982036,0.32335329341317365,0.2874251497005988,0.19760479041916168,0.05389221556886228,0.51,0.53,0.53,0.58,0.54
