column,E,N,R,W,M,L,Em,Nm,Rm,Wm,Mm,Lm,E_right,N_right,R_right,W_right,M_right,L_right,Estd,Nstd,Rstd,Wstd,Mstd,Lstd
공정,73,34,5,51,1,3,4.2,4.39,4.5,4.2,3.5,3.42,0.437125748502994,0.20359281437125748,0.029940119760479042,0.30538922155688625,0.005988023952095809,0.017964071856287425,0.56,0.53,0.59,0.54,,0.95
정직,73,34,5,51,1,3,4.4,4.59,4.95,4.53,2.75,3.5,0.437125748502994,0.20359281437125748,0.029940119760479042,0.30538922155688625,0.005988023952095809,0.017964071856287425,0.59,0.58,0.11,0.48,,1.32
존중,73,34,5,51,1,3,4.35,4.5,4.77,4.52,2.75,3.75,0.437125748502994,0.20359281437125748,0.029940119760479042,0.30538922155688625,0.005988023952095809,0.017964071856287425,0.55,0.56,0.32,0.51,,1.09
책임,73,34,5,51,1,3,4.19,4.33,4.8,4.24,2.75,3.42,0.437125748502994,0.20359281437125748,0.029940119760479042,0.30538922155688625,0.005988023952095809,0.017964071856287425,0.63,0.57,0.27,0.51,,0.95
투명성,73,34,5,51,1,3,4.26,4.43,4.65,4.32,2.75,3.5,0.437125748502994,0.20359281437125748,0.029940119760479042,0.30538922155688625,0.005988023952095809,0.017964071856287425,0.63,0.52,0.55,0.54,,1.09
전체,73,34,5,51,1,3,4.28,4.45,4.73,4.36,2.9,3.52,0.437125748502994,0.20359281437125748,0.029940119760479042,0.30538922155688625,0.005988023952095809,0.017964071856287425,0.54,0.5,0.35,0.43,,1.08
