column,E,N,R,W,M,L,Em,Nm,Rm,Wm,Mm,Lm,E_right,N_right,R_right,W_right,M_right,L_right,Estd,Nstd,Rstd,Wstd,Mstd,Lstd
공정,73,34,5,51,1,3,4.195205479452055,4.389705882352941,4.5,4.196078431372549,3.5,3.4166666666666665,0.437125748502994,0.20359281437125748,0.029940119760479042,0.30538922155688625,0.005988023952095809,0.017964071856287425,0.5578458309252384,0.5336806745504203,0.5863019699779286,0.5415573041936468,,0.9464847243000456
정직,73,34,5,51,1,3,4.404109589041096,4.588235294117647,4.95,4.534313725490196,2.75,3.5,0.437125748502994,0.20359281437125748,0.029940119760479042,0.30538922155688625,0.005988023952095809,0.017964071856287425,0.5916521961057638,0.5802375197474207,0.11180339887498941,0.4770209844523018,,1.3228756555322954
존중,73,34,5,51,1,3,4.35159817351598,4.502450980392157,4.766666666666667,4.516339869281046,2.75,3.75,0.437125748502994,0.20359281437125748,0.029940119760479042,0.30538922155688625,0.005988023952095809,0.017964071856287425,0.5535112692455348,0.5623892686062336,0.32489314482696574,0.5104517628323456,,1.0897247358851685
책임,73,34,5,51,1,3,4.188356164383562,4.330882352941177,4.8,4.240196078431373,2.75,3.4166666666666665,0.437125748502994,0.20359281437125748,0.029940119760479042,0.30538922155688625,0.005988023952095809,0.017964071856287425,0.6274684890242832,0.57313792114014,0.273861278752583,0.5098058069346736,,0.9464847243000456
투명성,73,34,5,51,1,3,4.263698630136986,4.426470588235294,4.65,4.323529411764706,2.75,3.5,0.437125748502994,0.20359281437125748,0.029940119760479042,0.30538922155688625,0.005988023952095809,0.017964071856287425,0.6276200789253954,0.516872191886058,0.547722557505166,0.5391987519622492,,1.0897247358851685
전체,73,34,5,51,1,3,4.280593607305936,4.447549019607843,4.733333333333333,4.3620915032679735,2.9000000000000004,3.516666666666667,0.437125748502994,0.20359281437125748,0.029940119760479042,0.30538922155688625,0.005988023952095809,0.017964071856287425,0.536319862198106,0.5012296722989863,0.3454063629343788,0.4349722651614641,,1.0785793124908956
