column,박사수,석사수,학사수,박사평균,석사평균,학사평균,박사표준편차,석사표준편차,학사표준편차
공정,9,52,106,4.083333333333333,4.153846153846154,4.273584905660377,0.838525491562421,0.5985150049592638,0.5250037436224718
정직,9,52,106,4.166666666666667,4.4423076923076925,4.511792452830188,0.81967981553775,0.6542009506728315,0.5426808185293085
존중,9,52,106,4.12037037037037,4.395833333333334,4.464622641509433,0.9043789220055392,0.5740092819575487,0.5319113127243795
책임,9,52,106,4.138888888888889,4.2548076923076925,4.224056603773585,0.9109671295448103,0.609343878522308,0.5762452822686944
투명성,9,52,106,4.027777777777778,4.355769230769231,4.30188679245283,0.8518770125108697,0.567385977674935,0.6003143830448893
전체,9,52,106,4.107407407407408,4.320512820512821,4.3551886792452805,0.8515146272929355,0.5393716123563179,0.4942760362792558
