component,f-value,p-value
fairness,0.10636357830320561,0.956271463864141
honesty,0.640981987673793,0.589697741285367
respect,0.6600981493183012,0.5777416183348032
responsibility,0.45108910790084794,0.7168706328103647
transparency,0.7999910858405126,0.49554417214235946
all,0.11992873304288783,0.9482779458420677
