component,f-value,p-value
공정,0.48374214051505476,0.7476523045805921
정직,0.3092633232212323,0.8714811591997939
존중,0.037862332822317664,0.997243307288752
책임,0.5559544253645251,0.6949544042910248
투명성,0.6155452202847761,0.6520503758882972
전체,0.08714895383705767,0.9863352637846056
