column,5년미만,5년이상10년미만수,10년이상15년미만수,15년이상수,5년미만평균,5년이상10년미만평균,10년이상15년미만평균,15년이상평균,5년미만표준편차,5년이상10년미만표준편차,10년이상15년미만표준편차,15년이상표준편차
공정,60,22,28,57,4.204166666666667,4.193181818181818,4.241071428571429,4.254385964912281,0.5831163841928335,0.6168845408960553,0.49759673755714406,0.5776554136700841
정직,60,22,28,57,4.408333333333333,4.4772727272727275,4.598214285714286,4.473684210526316,0.592979168087135,0.6167748822797953,0.5197011503876873,0.6333094244266931
존중,60,22,28,57,4.411111111111111,4.583333333333333,4.392857142857143,4.39327485380117,0.5924165031845829,0.5479640045336465,0.49683004545047027,0.5942336972902712
책임,60,22,28,57,4.2875,4.2727272727272725,4.196428571428571,4.166666666666667,0.625762247047957,0.6167748822797955,0.5415903487139574,0.6129796469859724
투명성,60,22,28,57,4.366666666666666,4.284090909090909,4.375,4.2105263157894735,0.5866933096158694,0.6870201985726134,0.44357553951864764,0.6610825025577141
전체,60,22,28,57,4.335555555555555,4.362121212121213,4.360714285714287,4.299707602339181,0.5462202485717462,0.5436546381300958,0.41356162268208346,0.5712914500615202
