component,t-value,p-value
fairness,2.4450635960577323,0.01553407103099468
honesty,1.2911439772404427,0.1984597280158115
respect,0.7932359538387767,0.42877954641929383
responsibility,0.6544721608474877,0.5137188877281116
transparency,0.8513026991077085,0.39583502325200826
all,1.3222510198776256,0.18791456754284439
