component,f-value,p-value
공정,2.5258806963004266,0.03126123502553893
정직,4.986883117696564,0.00028364581984719145
존중,3.850893609754321,0.002533257619900526
책임,3.7241475163139084,0.0032317950039703323
투명성,3.2618176272729724,0.007826267789256578
전체,4.325498158859518,0.0010155095367268923
