component,f-value,p-value
공정,0.10636357830320561,0.956271463864141
정직,0.640981987673793,0.589697741285367
존중,0.6600981493183012,0.5777416183348032
책임,0.45108910790084794,0.7168706328103647
투명성,0.7999910858405126,0.49554417214235946
전체,0.11992873304288783,0.9482779458420677
