Y,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_6,Q25_7,Q25_8,Q25_9,Q25_10
1,10,8,9,27,14,5,2,8,6,33
2,157,159,158,140,153,162,165,159,161,134
