,CP_1,CP_10,CP_2,CP_3,CP_4,CP_5,CP_6,CP_7,CP_8,CP_9,NP_1,NP_10,NP_2,NP_3,NP_4,NP_5,NP_6,NP_7,NP_8,NP_9,A_1,A_10,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9,FC_1,FC_10,FC_2,FC_3,FC_4,FC_5,FC_6,FC_7,FC_8,FC_9,AC_1,AC_10,AC_2,AC_3,AC_4,AC_5,AC_6,AC_7,AC_8,AC_9,sum_cp,sum_np,sum_a,sum_fc,sum_ac
26075,3,2,2,4,5,2,2,3,1,2,3,3,4,4,3,4,3,3,2,3,3,3,3,4,3,4,4,3,3,3,3,2,2,3,2,2,3,2,2,1,3,2,3,4,4,4,3,2,3,3,26,32,33,22,31
26074,3,4,1,4,4,1,1,2,1,1,5,4,4,3,4,4,4,3,1,4,4,4,4,4,1,4,4,4,4,4,4,1,2,3,1,2,4,1,1,3,4,2,4,2,4,4,3,1,3,1,22,36,37,22,28
26066,3,5,2,4,5,3,1,3,1,3,3,3,2,4,3,4,4,3,2,2,4,4,4,4,1,4,4,4,3,4,3,2,3,3,1,2,2,1,1,2,3,1,2,2,4,4,2,1,3,1,30,30,36,20,23
26064,3,4,1,5,4,2,1,3,1,1,4,1,4,2,4,3,4,4,1,3,4,4,3,2,3,4,5,4,3,4,3,3,2,3,1,1,2,2,1,1,3,2,4,4,3,4,4,2,3,4,25,30,36,19,33
26083,2,4,2,5,4,2,2,3,2,2,3,3,3,3,4,4,3,2,1,3,3,4,3,4,3,3,3,4,3,4,2,4,4,3,3,3,3,1,1,3,3,2,4,4,4,4,3,2,3,2,28,29,34,27,31
26063,3,3,2,3,3,2,2,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,2,3,3,3,3,3,2,26,29,30,28,28
26078,3,4,2,4,4,2,2,3,2,2,4,4,4,3,4,4,4,4,3,4,4,4,3,4,3,4,3,4,3,4,3,3,3,3,3,3,3,3,2,3,3,3,3,4,4,4,3,2,4,3,28,38,36,29,33
26090,3,3,3,4,3,1,3,3,1,2,3,3,3,3,2,4,3,3,3,3,3,4,4,3,4,3,3,4,3,4,3,2,3,3,2,2,3,1,2,3,3,2,3,3,3,3,3,3,3,1,26,30,35,24,27
26082,3,5,1,5,5,3,1,2,1,3,4,3,4,3,3,5,5,4,2,4,4,4,3,3,3,4,3,5,3,4,4,3,4,4,1,1,3,2,1,3,4,2,3,3,4,5,3,1,4,2,29,37,36,26,31
26085,1,4,1,4,3,2,2,4,2,4,3,2,2,1,3,4,4,3,1,4,4,4,4,1,3,2,3,4,3,4,4,4,2,4,3,2,3,3,4,2,3,2,2,3,3,4,1,2,2,2,27,27,32,31,24
26093,3,3,2,3,3,3,3,2,1,2,4,3,3,3,3,3,3,3,2,3,3,3,3,2,2,2,2,3,3,3,3,3,4,2,2,2,3,1,1,3,3,2,3,2,2,3,3,3,3,2,25,30,26,24,26
26132,3,5,1,5,5,4,1,4,1,1,4,4,5,5,1,5,4,1,1,3,5,5,5,3,5,5,5,5,5,5,5,1,1,4,4,1,3,4,4,1,5,1,3,4,5,5,1,1,1,4,30,33,48,28,30
26095,2,4,3,4,4,2,2,4,1,2,3,3,3,2,3,3,4,3,2,3,3,4,3,3,2,3,3,4,3,4,3,1,4,3,2,3,3,3,1,3,3,1,3,3,4,3,2,2,3,2,28,29,32,26,26
26125,2,4,3,5,4,1,1,3,1,2,3,4,3,1,5,4,5,2,4,4,5,5,5,2,1,4,4,5,3,5,3,2,2,5,2,1,5,1,1,2,3,4,2,4,4,4,2,1,2,2,26,35,39,24,28
26147,3,4,1,5,5,1,1,2,1,2,4,3,4,3,4,4,3,3,3,3,3,3,3,4,3,4,3,4,3,3,4,2,3,3,2,2,3,1,1,3,5,2,4,3,4,5,3,3,4,3,25,34,33,24,36
26148,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,30,31,30,30,30
26141,3,4,3,4,3,2,2,2,1,2,4,5,4,3,3,4,4,3,2,4,3,4,3,3,3,4,3,4,2,4,3,3,3,4,3,2,4,2,1,3,3,2,3,3,3,4,3,3,4,2,26,36,33,28,30
26157,4,4,2,4,4,3,2,2,2,4,4,3,3,2,4,4,3,3,2,3,3,4,3,4,3,4,4,4,3,4,3,3,3,4,3,4,3,2,2,2,3,2,4,4,4,3,2,2,4,4,31,31,36,29,32
26140,4,4,2,5,4,2,2,3,1,3,4,3,3,3,3,4,3,2,2,3,3,3,4,4,3,4,3,4,3,4,4,2,3,3,2,3,4,2,2,2,3,2,2,3,4,3,2,2,3,1,30,30,35,27,25
26171,4,3,2,4,4,1,2,3,1,2,4,4,4,3,4,4,5,4,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,5,3,3,4,4,3,2,3,3,4,3,4,4,2,2,2,1,26,38,40,34,28
26160,4,5,4,4,4,2,1,4,1,4,4,4,4,4,3,4,4,2,2,4,4,5,4,5,2,4,4,4,4,5,5,4,4,4,2,2,4,1,1,4,4,3,3,4,4,4,3,1,3,1,33,35,41,31,30
26161,1,5,2,5,5,2,3,2,1,2,4,4,3,3,1,4,4,3,3,2,5,5,5,5,3,5,4,5,5,4,5,3,3,5,2,2,5,1,1,3,5,1,1,3,5,3,1,1,3,1,28,31,46,30,24
26173,4,3,3,4,4,3,3,4,2,3,4,3,3,4,3,4,3,3,3,3,4,4,4,4,3,4,3,4,3,3,4,2,3,4,3,3,3,3,3,3,4,2,3,3,3,3,3,3,3,2,33,33,36,31,29
26178,5,5,5,5,5,1,1,4,1,3,5,4,5,5,5,5,5,3,4,3,5,5,5,5,1,5,5,5,5,5,5,2,5,5,1,2,3,1,1,1,5,2,5,4,5,5,3,4,1,1,35,44,46,26,35
26170,3,4,2,4,4,2,2,3,1,2,4,3,4,4,3,4,4,4,3,4,4,4,4,3,3,4,3,4,3,4,3,4,4,4,2,3,4,2,1,3,4,3,3,4,4,4,3,2,3,3,27,37,36,30,33
26191,3,3,2,3,3,2,2,3,1,2,3,3,3,3,2,3,3,2,2,3,3,3,3,3,2,3,3,3,2,3,3,2,3,3,3,2,3,2,2,3,2,2,2,2,2,3,2,2,3,2,24,27,28,26,22
26198,3,4,3,2,5,2,2,3,1,2,4,4,4,3,3,4,4,3,2,4,4,4,4,4,2,4,4,4,4,4,4,2,3,5,2,3,4,1,1,3,4,3,2,2,4,4,2,2,3,1,27,35,38,28,27
26202,2,5,2,5,4,2,3,3,1,2,4,4,3,2,3,4,5,3,4,5,3,4,4,4,2,4,3,4,4,4,4,1,4,4,3,2,4,1,1,3,3,1,1,3,2,4,3,1,3,1,29,37,36,27,22
26216,4,4,2,5,5,3,1,4,1,3,4,4,4,4,3,5,3,3,3,4,4,5,4,4,4,5,3,4,4,5,5,3,5,5,2,2,3,1,2,3,3,2,5,5,5,4,1,2,3,1,32,37,42,31,31
26258,3,4,2,4,4,2,3,3,1,3,4,3,4,4,3,4,3,2,2,4,3,4,4,4,3,3,3,4,3,3,4,2,4,3,2,2,4,1,1,3,4,3,3,3,3,4,3,2,3,4,29,33,34,26,32
26328,3,4,2,4,5,2,2,3,2,2,4,3,5,3,3,4,4,4,2,4,4,4,4,4,3,4,3,4,4,4,4,2,4,4,2,2,3,3,2,3,3,3,4,4,4,4,3,2,4,3,29,36,38,29,34
26199,3,4,2,4,4,2,2,2,1,1,4,3,4,3,4,4,4,3,2,4,4,4,3,4,1,3,2,4,3,4,4,4,4,3,1,2,4,1,1,2,3,3,3,2,3,4,3,1,4,1,25,35,32,26,27
26400,3,4,2,4,5,4,2,2,1,3,4,4,3,4,4,4,4,4,2,4,5,4,4,5,2,4,4,4,3,4,4,2,3,4,2,4,3,1,2,3,4,3,4,4,4,4,2,1,4,2,30,37,39,28,32
26514,4,3,4,3,3,3,5,3,3,3,4,2,4,3,3,2,3,4,4,3,3,3,3,4,2,3,4,4,3,3,4,3,2,3,4,2,4,4,2,3,4,3,3,4,3,3,3,3,2,4,34,32,32,31,32
26519,4,4,2,4,4,3,4,4,2,2,4,2,4,2,4,4,4,2,2,3,3,3,2,2,2,4,4,4,3,4,4,4,2,2,2,2,3,2,2,2,2,4,4,3,4,4,2,2,4,4,33,31,31,25,33
26671,2,3,2,4,2,2,4,2,1,2,3,3,3,2,4,3,3,3,3,2,3,3,3,2,3,3,3,4,2,4,3,3,2,3,2,3,3,1,1,3,3,2,4,4,4,3,2,2,2,2,24,29,30,24,28
26765,3,4,2,4,4,2,2,2,1,2,4,3,3,3,4,4,4,4,2,3,4,4,3,3,4,3,4,4,3,4,3,2,2,4,2,3,3,2,1,2,4,2,4,3,4,4,3,1,3,2,26,34,36,24,30
26739,3,4,2,4,5,3,1,3,1,2,4,3,4,5,3,5,4,2,3,4,3,5,5,4,1,4,3,4,3,5,4,3,3,3,1,2,3,3,1,3,3,2,2,2,4,4,2,2,2,2,28,37,37,26,25
26816,2,3,1,5,4,1,2,3,1,2,2,3,3,2,3,3,5,2,2,3,5,4,4,4,1,3,5,5,3,5,4,2,3,3,1,1,3,1,1,1,3,2,3,3,3,5,3,1,4,3,24,28,39,20,30
26895,3,4,2,4,4,2,1,3,1,2,5,4,4,4,3,4,5,3,2,4,4,4,4,4,2,4,4,5,3,4,4,3,4,5,2,2,4,3,2,3,5,1,3,3,3,3,2,2,4,4,26,38,38,32,30
27004,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,30,30,30,30,30
27015,2,3,2,3,4,3,3,3,2,2,3,4,3,3,4,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,2,3,3,3,2,2,3,2,2,3,3,4,3,2,2,3,2,27,32,29,26,26
27046,1,2,2,3,3,1,2,2,1,1,3,2,3,1,2,2,3,2,2,1,3,2,1,2,3,3,2,3,2,2,3,2,3,2,2,2,3,1,2,2,3,1,3,3,3,3,2,2,1,4,18,21,23,22,25
27725,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,30,30,30,30,30
27863,2,5,1,5,5,1,1,2,1,2,5,5,5,2,5,4,5,4,4,5,5,5,3,5,3,5,4,5,4,5,4,2,5,4,1,1,2,1,1,2,5,2,4,4,4,5,3,3,5,3,25,44,44,23,38
28045,2,5,2,4,4,2,2,3,1,2,4,3,3,3,3,3,4,3,3,3,4,4,4,3,3,3,4,3,4,4,3,1,3,3,2,2,3,1,1,3,4,3,4,3,3,3,3,2,4,3,27,32,36,22,32
