,CP_1,CP_10,CP_2,CP_3,CP_4,CP_5,CP_6,CP_7,CP_8,CP_9,NP_1,NP_10,NP_2,NP_3,NP_4,NP_5,NP_6,NP_7,NP_8,NP_9,A_1,A_10,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9,FC_1,FC_10,FC_2,FC_3,FC_4,FC_5,FC_6,FC_7,FC_8,FC_9,AC_1,AC_10,AC_2,AC_3,AC_4,AC_5,AC_6,AC_7,AC_8,AC_9,sum_cp,sum_np,sum_a,sum_fc,sum_ac
14628,3,5,1,5,5,1,1,2,1,2,5,5,5,4,4,5,4,3,2,4,4,3,2,5,3,4,4,4,4,4,3,3,3,4,1,2,3,2,1,3,3,3,3,4,4,4,3,2,3,1,26,41,37,25,30
14783,4,5,2,5,5,1,1,3,1,2,5,5,5,4,4,5,5,1,3,4,3,5,4,5,1,5,5,5,5,5,5,1,3,5,1,1,3,1,1,4,5,1,2,1,2,3,1,1,2,1,29,41,43,25,19
14787,3,4,2,3,3,2,2,3,1,2,3,2,3,2,3,3,3,3,2,2,3,3,3,3,3,3,4,3,3,3,3,3,1,1,2,2,3,2,2,2,3,1,3,3,3,3,3,2,3,2,25,26,31,21,26
14673,3,5,1,5,4,1,1,2,1,1,4,4,4,4,2,5,5,3,1,4,3,5,3,5,2,4,5,5,4,4,4,2,4,4,1,1,4,1,1,3,4,2,2,1,4,5,2,1,2,1,24,36,40,25,24
14714,3,4,1,5,5,1,2,3,1,1,4,3,4,4,3,4,4,2,3,4,4,4,4,4,3,4,3,4,4,5,5,1,4,3,1,2,3,3,3,2,3,2,3,4,4,3,1,1,4,1,26,35,39,27,26
14805,3,4,3,4,4,3,2,3,2,2,2,4,4,3,4,3,4,3,2,4,3,4,2,3,4,4,3,4,4,3,4,2,3,4,2,2,3,2,2,4,1,2,3,3,4,4,3,3,2,2,30,33,34,28,27
14804,2,4,2,4,4,2,2,3,1,2,4,3,4,3,4,4,4,4,3,3,4,4,3,3,2,4,4,4,4,4,4,2,2,3,2,2,3,3,2,3,4,3,2,4,4,4,2,2,3,1,26,36,36,26,29
14809,2,3,3,5,4,4,2,2,1,4,3,2,3,2,3,4,4,4,1,3,4,4,4,1,4,2,2,3,4,3,5,4,1,3,3,4,2,4,1,3,2,4,3,3,3,2,3,3,4,2,30,29,31,30,29
14711,3,4,2,5,4,3,2,3,1,1,4,4,5,3,4,5,5,3,1,3,4,3,3,4,4,3,4,3,1,3,4,4,5,2,1,2,3,1,4,3,4,3,5,4,4,4,4,2,3,2,28,37,32,29,35
14708,3,3,2,4,4,2,2,3,2,2,4,3,3,3,4,3,4,3,3,3,4,3,4,2,2,3,4,3,3,4,4,3,3,3,3,3,4,2,2,2,3,4,3,3,4,4,3,2,3,2,27,33,32,29,31
14834,3,4,2,5,5,3,3,3,1,2,5,5,4,4,3,3,5,2,3,5,5,5,4,4,2,5,4,4,5,5,5,2,4,4,2,2,4,2,2,3,3,3,2,3,4,5,2,2,2,1,31,39,43,30,27
14814,3,3,2,5,4,1,1,3,1,2,4,3,4,3,2,5,3,2,1,4,4,4,3,5,2,4,4,4,5,4,4,2,3,3,1,1,3,1,1,3,4,2,2,2,3,3,1,1,3,2,25,31,39,22,23
14817,3,4,2,4,5,2,1,3,1,1,4,5,4,3,4,5,5,2,2,3,4,5,3,3,2,5,4,4,4,4,4,2,3,3,2,2,3,1,1,1,3,1,3,5,4,5,2,4,2,2,26,37,38,22,31
14849,4,4,2,5,4,2,1,3,2,5,4,5,5,5,3,5,5,3,3,5,4,5,4,4,3,3,3,4,3,5,5,4,2,4,3,4,4,4,5,5,5,3,5,5,5,4,2,4,4,1,32,43,38,40,38
14853,4,5,1,5,5,1,1,3,1,1,5,3,4,3,3,4,5,3,4,3,3,5,4,5,1,5,5,4,5,4,5,1,4,4,3,1,3,1,1,4,3,1,1,1,2,4,1,1,3,1,27,37,41,27,18
14858,3,4,2,4,4,2,2,2,1,2,4,4,4,3,3,4,3,3,2,4,3,4,3,3,4,4,4,3,4,3,4,2,2,4,3,2,3,1,1,2,4,2,4,3,4,4,2,1,4,4,26,34,35,24,32
14871,4,4,1,5,4,2,1,1,1,1,5,3,4,4,4,4,4,4,1,3,3,3,3,4,2,4,4,3,4,4,4,3,5,2,1,2,3,3,1,2,4,2,5,5,5,4,3,1,3,1,24,36,34,26,33
14883,2,4,2,4,4,1,1,2,1,2,4,3,4,3,4,4,4,3,1,3,4,3,3,3,3,4,3,3,3,3,2,3,2,2,2,1,3,4,2,2,3,3,4,4,4,4,3,2,4,3,23,33,32,23,34
14860,3,4,1,4,5,1,1,1,1,3,4,3,4,3,3,4,2,3,1,3,4,4,3,4,2,4,1,4,3,4,3,1,1,2,2,1,4,1,1,1,1,1,4,4,4,4,4,1,3,1,24,30,33,17,27
14707,2,4,2,4,4,2,2,2,1,2,4,4,3,2,5,4,4,4,2,4,3,4,4,3,4,4,2,4,2,3,4,4,3,2,3,4,3,1,1,4,4,4,3,3,4,3,2,2,3,3,25,36,33,29,31
